Term of Loan in Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
04/09/2001,8.12,7.35,7.19,7.19,7.23,7.23,7.39,7.39,7.38,7.38,7.38,7.38,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10,7.10
04/16/2001,7.85,7.22,7.10,7.10,7.17,7.17,7.35,7.35,7.37,7.37,7.37,7.37,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12
04/23/2001,7.78,7.23,7.11,7.11,7.18,7.18,7.34,7.34,7.36,7.36,7.36,7.36,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23
04/30/2001,7.67,7.24,7.27,7.27,7.41,7.41,7.58,7.58,7.64,7.64,7.64,7.64,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22
05/07/2001,7.70,7.23,7.21,7.21,7.40,7.40,7.54,7.54,7.60,7.60,7.60,7.60,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,6.82,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23
05/14/2001,7.79,7.28,7.19,7.19,7.33,7.33,7.55,7.55,7.64,7.64,7.64,7.64,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19
05/21/2001,7.51,7.22,7.26,7.26,7.43,7.43,7.67,7.67,7.77,7.77,7.77,7.77,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24
05/28/2001,7.52,7.25,7.28,7.28,7.43,7.43,7.63,7.63,7.67,7.67,7.67,7.67,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30
06/04/2001,7.59,7.36,7.35,7.35,7.58,7.58,7.81,7.81,7.88,7.88,7.88,7.88,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33,7.33
06/11/2001,7.55,7.24,7.30,7.30,7.50,7.50,7.69,7.69,7.74,7.74,7.74,7.74,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30
06/18/2001,7.52,7.18,7.18,7.18,7.41,7.41,7.64,7.64,7.70,7.70,7.70,7.70,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23,7.23
06/25/2001,7.44,7.14,7.19,7.19,7.41,7.41,7.66,7.66,7.76,7.76,7.76,7.76,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21
07/02/2001,7.47,7.15,7.21,7.21,7.40,7.40,7.61,7.61,7.69,7.69,7.69,7.69,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21
07/09/2001,7.41,7.10,7.07,7.07,7.26,7.26,7.49,7.49,7.58,7.58,7.58,7.58,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28
07/16/2001,7.49,7.16,7.14,7.14,7.39,7.39,7.62,7.62,7.71,7.71,7.71,7.71,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30,7.30
07/23/2001,7.13,6.84,6.93,6.93,7.12,7.12,7.31,7.31,7.39,7.39,7.39,7.39,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,6.79,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17
07/30/2001,7.42,6.99,7.01,7.01,7.20,7.20,7.37,7.37,7.48,7.48,7.48,7.48,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12
08/06/2001,7.47,6.94,6.93,6.93,7.21,7.21,7.39,7.39,7.53,7.53,7.53,7.53,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09
08/13/2001,7.40,6.91,6.92,6.92,7.23,7.23,7.40,7.40,7.51,7.51,7.51,7.51,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09
08/20/2001,7.41,6.90,6.92,6.92,7.23,7.23,7.42,7.42,7.45,7.45,7.45,7.45,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01
08/27/2001,7.37,6.87,6.86,6.86,7.16,7.16,7.33,7.33,7.35,7.35,7.35,7.35,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,6.61,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00
09/03/2001,7.36,6.81,6.79,6.79,7.07,7.07,7.22,7.22,7.26,7.26,7.26,7.26,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01
09/10/2001,7.33,6.83,6.83,6.83,7.13,7.13,7.28,7.28,7.31,7.31,7.31,7.31,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98,6.98
09/17/2001,7.31,6.73,6.74,6.74,7.10,7.10,7.28,7.28,7.35,7.35,7.35,7.35,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95
09/24/2001,7.27,6.75,6.82,6.82,7.30,7.30,7.65,7.65,7.84,7.84,7.84,7.84,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89
10/01/2001,7.14,6.70,6.78,6.78,7.27,7.27,7.65,7.65,7.84,7.84,7.84,7.84,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81,6.81
10/08/2001,7.03,6.59,6.67,6.67,7.17,7.17,7.50,7.50,7.65,7.65,7.65,7.65,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72
10/15/2001,6.95,6.56,6.70,6.70,7.25,7.25,7.54,7.54,7.74,7.74,7.74,7.74,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.20,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67
10/22/2001,6.95,6.55,6.67,6.67,7.20,7.20,7.49,7.49,7.69,7.69,7.69,7.69,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70
10/29/2001,6.75,6.46,6.64,6.64,7.22,7.22,7.52,7.52,7.71,7.71,7.71,7.71,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72
11/05/2001,6.95,6.52,6.68,6.68,7.27,7.27,7.55,7.55,7.76,7.76,7.76,7.76,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65,6.65
11/12/2001,6.80,6.49,6.65,6.65,7.23,7.23,7.59,7.59,7.78,7.78,7.78,7.78,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53
11/19/2001,6.56,6.37,6.54,6.54,7.06,7.06,7.45,7.45,7.62,7.62,7.62,7.62,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59
11/26/2001,6.68,6.64,6.85,6.85,7.39,7.39,7.77,7.77,7.92,7.92,7.92,7.92,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83
12/03/2001,6.72,6.81,7.04,7.04,7.56,7.56,7.91,7.91,8.05,8.05,8.05,8.05,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,6.64,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09
12/10/2001,6.71,6.76,6.99,6.99,7.50,7.50,7.88,7.88,8.04,8.04,8.04,8.04,6.43,6.43,6.43,6.43,6.43,6.43,6.43,6.43,6.43,6.43,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91
12/17/2001,6.69,6.87,7.15,7.15,7.77,7.77,8.17,8.17,8.35,8.35,8.35,8.35,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17,7.17
12/24/2001,6.77,6.97,7.25,7.25,7.83,7.83,8.21,8.21,8.39,8.39,8.39,8.39,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24
12/31/2001,6.75,6.99,7.27,7.27,7.82,7.82,8.19,8.19,8.35,8.35,8.35,8.35,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24,7.24
01/07/2002,6.95,7.07,7.31,7.31,7.86,7.86,8.22,8.22,8.38,8.38,8.38,8.38,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22
01/14/2002,6.76,6.93,7.21,7.21,7.81,7.81,8.19,8.19,8.37,8.37,8.37,8.37,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14
01/21/2002,6.39,6.58,6.88,6.88,7.53,7.53,7.93,7.93,8.13,8.13,8.13,8.13,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90,6.90
01/28/2002,6.41,6.68,6.97,6.97,7.59,7.59,7.96,7.96,8.14,8.14,8.14,8.14,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03
02/04/2002,6.43,6.66,6.98,6.98,7.57,7.57,7.89,7.89,8.08,8.08,8.08,8.08,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09,7.09
02/11/2002,6.35,6.52,6.83,6.83,7.43,7.43,7.75,7.75,7.93,7.93,7.93,7.93,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.47,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95
02/18/2002,6.29,6.45,6.77,6.77,7.38,7.38,7.70,7.70,7.85,7.85,7.85,7.85,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93
02/25/2002,6.27,6.40,6.72,6.72,7.30,7.30,7.65,7.65,7.76,7.76,7.76,7.76,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88
03/04/2002,6.25,6.41,6.70,6.70,7.23,7.23,7.59,7.59,7.70,7.70,7.70,7.70,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87,6.87
03/11/2002,6.38,6.66,6.95,6.95,7.46,7.46,7.81,7.81,7.91,7.91,7.91,7.91,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94,6.94
03/18/2002,6.39,6.76,7.11,7.11,7.56,7.56,7.89,7.89,7.99,7.99,7.99,7.99,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,6.70,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15
03/25/2002,6.42,6.83,7.22,7.22,7.58,7.58,7.89,7.89,7.98,7.98,7.98,7.98,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,6.76,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21,7.21
04/01/2002,6.61,6.91,7.26,7.26,7.62,7.62,7.90,7.90,7.96,7.96,7.96,7.96,6.80,6.80,6.80,6.80,6.80,6.80,6.80,6.80,6.80,6.80,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
04/08/2002,6.49,6.74,7.06,7.06,7.49,7.49,7.77,7.77,7.86,7.86,7.86,7.86,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20
04/15/2002,6.69,6.82,7.11,7.11,7.50,7.50,7.77,7.77,7.89,7.89,7.89,7.89,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07
04/22/2002,6.26,6.61,6.98,6.98,7.42,7.42,7.72,7.72,7.87,7.87,7.87,7.87,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01
04/29/2002,6.22,6.56,6.91,6.91,7.41,7.41,7.69,7.69,7.84,7.84,7.84,7.84,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.46,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.95
05/06/2002,6.25,6.43,6.76,6.76,7.26,7.26,7.53,7.53,7.69,7.69,7.69,7.69,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.37,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85
05/13/2002,6.11,6.40,6.73,6.73,7.29,7.29,7.61,7.61,7.79,7.79,7.79,7.79,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86
05/20/2002,6.31,6.55,6.83,6.83,7.34,7.34,7.68,7.68,7.87,7.87,7.87,7.87,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96
05/27/2002,6.16,6.44,6.75,6.75,7.25,7.25,7.59,7.59,7.80,7.80,7.80,7.80,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88,6.88
06/03/2002,6.07,6.34,6.71,6.71,7.16,7.16,7.47,7.47,7.70,7.70,7.70,7.70,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.35,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84
06/10/2002,5.65,6.03,6.46,6.46,6.97,6.97,7.31,7.31,7.58,7.58,7.58,7.58,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78
06/17/2002,5.98,6.19,6.47,6.47,6.98,6.98,7.32,7.32,7.58,7.58,7.58,7.58,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78,6.78
06/24/2002,5.54,5.85,6.18,6.18,6.76,6.76,7.13,7.13,7.41,7.41,7.41,7.41,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.16,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68
07/01/2002,5.36,5.75,6.19,6.19,6.78,6.78,7.14,7.14,7.43,7.43,7.43,7.43,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60
07/08/2002,5.52,5.83,6.15,6.15,6.76,6.76,7.17,7.17,7.44,7.44,7.44,7.44,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62,6.62
07/15/2002,5.60,5.86,6.18,6.18,6.82,6.82,7.24,7.24,7.51,7.51,7.51,7.51,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59
